region,value
39069,10834
39071,7073
39073,20441
39075,22176
39077,10863
39079,22472
39081,22164
39083,99988
39085,13718
39087,56420
39089,20260
39091,103109
39093,223205
39095,17375
39097,104330
39099,25350
39101,62968
39103,3913
39105,20377
39107,42640
39109,3199
39111,266498
39113,2926
39115,6202
39117,34915
39119,3328
39121,14286
39123,4953
39125,6114
39127,14723
39129,9804
39131,61458
39133,11222
39135,12003
39137,53558
39139,29445
39141,27109
39143,25461
39145,20724
39147,28354
39149,167936
39151,282362
39153,74019
39155,38870
39157,32967
39159,11429
39161,2479
39163,92827
39165,26975
39167,50110
39169,18111
39171,68824
39173,9334
39175,4916
40001,1903
40003,3547
40005,1845
40007,11690
40009,3315
40011,16716
40013,7794
40015,34648
40017,25601
40019,16461
40021,4746
40023,752
40025,89748
40027,1301
40029,57140
40031,1674
40033,5890
40035,20103
40037,13801
40039,9537
40041,1661
40043,1416
40045,29974
40047,10663
40049,13718
40051,1966
40053,1367
40055,785
40057,1173
40059,3916
40061,3355
40063,11364
40065,1292
40067,3294
40069,19497
40071,6398
40073,2467
40075,3384
40077,14376
40079,7352
40081,8100
40083,5709
40085,9626
40087,11843
40089,4384
40091,2690
40093,4524
40095,13432
40097,6362
40099,32467
40101,4931
40103,1968
40105,2634
40107,486776
40109,10665
40111,7713
40113,12667
40115,3670
40117,37730
40119,17334
40121,19521
40123,24855
40125,3079
40127,925
40129,29783
40131,7842
40133,9751
40135,16989
40137,9928
40139,2108
40141,374488
40143,10313
40145,22674
40147,2324
40149,4152
40151,10501
40153,5482
41001,39517
41003,157974
41005,18403
41007,10933
41009,23582
41011,6205
41013,6744
41015,76332
41017,37970
41019,886
41021,2513
41023,2573
41025,12322
41027,86188
41029,6857
41031,26036
41033,23353
41035,2512
41037,155644
41039,18812
41041,45308
41043,13147
41045,147358
41047,6324
41049,507700
41051,20446
41053,936
41055,9418
41057,30868
41059,10439
41061,2613
41063,11140
41065,289452
41067,332
41069,36604
41071,35963
42001,745731
42003,18522
42005,56248
42007,16497
42009,181224
42011,63554
42013,25998
42015,275568
42017,92132
42019,57819
42021,2056
42023,18331
42025,96321
42027,268441
42029,15165
42031,31846
42033,14628
42035,28186
42037,33379
42039,143576
42041,192457
42043,239310
42045,15639
42047,135268
42049,43249
42051,2335
42053,62520
42055,5378
42057,16014
42059,13481
42061,35657
42063,16656
42065,6718
42067,104477
42069,249693
42071,31174
42073,51902
42075,195567
42077,152858
42079,58373
42081,16746
42083,51412
42085,16598
42087,58096
42089,519389
42091,15969
42093,117445
42095,29409
42097,8552
42099,716800
42101,11773
42103,5649
42105,52520
42107,16848
42109,25545
42111,1972
42113,10226
42115,14533
42117,18489
42119,20048
42121,15872
42123,94522
42125,15646
42127,142570
42129,10595
42131,185391
42133,15350
44001,79146
44003,43555
44005,302325
44007,59286
44009,6192
45001,62619
45003,2970
45005,67959
45007,4577
45009,5698
45011,77381
45013,50928
45015,4745
45017,264097
45019,20190
45021,9098
45023,15402
45025,7930
45027,11539
45029,21754
45031,9209
45033,35299
45035,6205
45037,10958
45039,68848
45041,24708
